type,question,name,role,industry,sphere,agent_source,content_preview,score
answer,Are there climatetech-specific grants or public funding programs available in Berlin or Brandenburg?,Marek Sliwinski,champion,climatetech,B2B SaaS,champion_matcher,"Key programs: Exist Gründerstipendium (if you have university affiliation), ILB ",4.80
answer,Are there climatetech-specific grants or public funding programs available in Berlin or Brandenburg?,Marek Sliwinski,champion,climatetech,B2B SaaS,champion_matcher,From a tax angle: R&D tax credits (Forschungslagengesetz) are underused by Berli,4.70
answer,Are there climatetech-specific grants or public funding programs available in Berlin or Brandenburg?,Hana Okafor,mentor,climatetech,B2B SaaS,mentor_matcher,We combined Exist with a KfW Energy Efficiency grant for our hardware component.,4.50
question,Are there climatetech-specific grants or public funding programs available in Berlin or Brandenburg?,Selin Arslan,founder,climatetech,B2B SaaS,null,Are there climatetech-specific grants or public funding programs available in Be,null
answer,"I keep getting invited to climate startup events in Berlin but they all feel like networking for networking's sake. Which events or communities in Berlin have actually led to real deals, pilots, or investor intros for climate founders?",Clara Müller-Hoffmann,mentor,climatetech,B2B SaaS,mentor_matcher,You are right to be selective. The events in Berlin that have consistently produ,4.80
answer,"I keep getting invited to climate startup events in Berlin but they all feel like networking for networking's sake. Which events or communities in Berlin have actually led to real deals, pilots, or investor intros for climate founders?",Maximilian Krause,founder,climatetech,B2B SaaS,mentor_matcher,Peer answer from a fellow climate founder: Clara's list is solid. I would add th,4.70
question,"I keep getting invited to climate startup events in Berlin but they all feel like networking for networking's sake. Which events or communities in Berlin have actually led to real deals, pilots, or investor intros for climate founders?",Selin Arslan,founder,climatetech,B2B SaaS,null,I keep getting invited to climate startup events in Berlin but they all feel lik,null
answer,We are looking for a technical co-founder with a background in energy systems in Berlin. Where should we be searching?,Erik Sandberg,mentor,climatetech,B2B SaaS,mentor_matcher,The Cleantech Hub Berlin at EUREF Campus in Schöneberg is specifically built for,4.90
answer,We are looking for a technical co-founder with a background in energy systems in Berlin. Where should we be searching?,Jonas Reuter,champion,climatetech,B2B SaaS,champion_matcher,Best places to find energy systems talent in Berlin: TU Berlin Energy Engineerin,4.80
answer,We are looking for a technical co-founder with a background in energy systems in Berlin. Where should we be searching?,Erik Sandberg,mentor,climatetech,B2B SaaS,mentor_matcher,"Do not underestimate LinkedIn for this specific search. Filter for TU Berlin or ",4.40
question,We are looking for a technical co-founder with a background in energy systems in Berlin. Where should we be searching?,Selin Arslan,founder,climatetech,B2B SaaS,null,We are looking for a technical co-founder with a background in energy systems in,null
answer,We are raising a €3M Seed for a carbon credit marketplace. VCs keep pushing back that the voluntary carbon market is 'too uncertain' right now. How do impact founders reframe the narrative to get past this objection without abandoning their mission positioning?,Stefan Krawczyk,mentor,climatetech,Impact / Marketplace,mentor_matcher,The VCs pushing back on voluntary carbon market uncertainty are not wrong — it i,4.90
answer,We are raising a €3M Seed for a carbon credit marketplace. VCs keep pushing back that the voluntary carbon market is 'too uncertain' right now. How do impact founders reframe the narrative to get past this objection without abandoning their mission positioning?,Priya Nandakumar,champion,climatetech,Impact / Marketplace,champion_matcher,Stefan's framing advice is right. On the investor side: stop targeting generalis,4.80
answer,We are raising a €3M Seed for a carbon credit marketplace. VCs keep pushing back that the voluntary carbon market is 'too uncertain' right now. How do impact founders reframe the narrative to get past this objection without abandoning their mission positioning?,Clara Müller-Hoffmann,mentor,climatetech,Impact / Marketplace,mentor_matcher,Adding a CSRD and ESG reporting lens to what Stefan and Priya said: the stronges,4.70
question,We are raising a €3M Seed for a carbon credit marketplace. VCs keep pushing back that the voluntary carbon market is 'too uncertain' right now. How do impact founders reframe the narrative to get past this objection without abandoning their mission positioning?,Maximilian Krause,founder,climatetech,Impact / Marketplace,null,We are raising a €3M Seed for a carbon credit marketplace. VCs keep pushing back,null
answer,Which Berlin coworking spaces have a strong sustainability or climatetech community?,Erik Sandberg,mentor,climatetech,B2B SaaS,mentor_matcher,EUREF Campus in Schöneberg is the best in Berlin for climatetech — it is a dedic,4.90
answer,Which Berlin coworking spaces have a strong sustainability or climatetech community?,Erik Sandberg,mentor,climatetech,B2B SaaS,mentor_matcher,We tried three spaces before settling. The Delta won us over because the communi,4.70
answer,Which Berlin coworking spaces have a strong sustainability or climatetech community?,Sofia Almeida,champion,climatetech,B2B SaaS,champion_matcher,"Also look at Supermarkt Berlin in Wedding — it is a cooperative coworking space ",4.30
question,Which Berlin coworking spaces have a strong sustainability or climatetech community?,Selin Arslan,founder,climatetech,B2B SaaS,null,Which Berlin coworking spaces have a strong sustainability or climatetech commun,null
answer,Which Berlin VCs are actively investing in climatetech pre-seed rounds right now?,Priya Nandakumar,champion,climatetech,B2B SaaS,champion_matcher,Active Berlin-based climatetech investors at pre-seed: Vireo Ventures (dedicated,4.90
answer,Which Berlin VCs are actively investing in climatetech pre-seed rounds right now?,Lukas Brandt,mentor,climatetech,B2B SaaS,mentor_matcher,"Do not overlook corporate VCs: BASF Ventures, Vattenfall Ventures, and Bosch Ven",4.60
answer,Which Berlin VCs are actively investing in climatetech pre-seed rounds right now?,Lukas Brandt,mentor,climatetech,B2B SaaS,mentor_matcher,The Ecosummit conference in Berlin is where the serious climatetech investors sh,4.50
question,Which Berlin VCs are actively investing in climatetech pre-seed rounds right now?,Selin Arslan,founder,climatetech,B2B SaaS,null,Which Berlin VCs are actively investing in climatetech pre-seed rounds right now,null
answer,How do I build an investor pitch deck for a deeptech pre-seed round?,Jonas Reuter,champion,deeptech,B2B SaaS,champion_matcher,Deeptech decks need one extra slide non-deeptech decks do not: a credibility sli,4.90
answer,How do I build an investor pitch deck for a deeptech pre-seed round?,Lukas Brandt,mentor,deeptech,B2B SaaS,mentor_matcher,The biggest mistake deeptech founders make is spending 8 slides on technology an,4.80
answer,How do I build an investor pitch deck for a deeptech pre-seed round?,Erik Sandberg,mentor,deeptech,B2B SaaS,mentor_matcher,"Get a demo in front of investors as early as possible — even a rough prototype. ",4.50
question,How do I build an investor pitch deck for a deeptech pre-seed round?,Lena Hartmann,founder,deeptech,B2B SaaS,null,How do I build an investor pitch deck for a deeptech pre-seed round?,null
answer,How do I find product-market fit as a B2B deeptech startup with a long sales cycle?,Sofia Almeida,champion,deeptech,B2B SaaS,champion_matcher,"With long sales cycles, traditional PMF signals (retention, NPS) take too long t",4.90
answer,How do I find product-market fit as a B2B deeptech startup with a long sales cycle?,Erik Sandberg,mentor,deeptech,B2B SaaS,mentor_matcher,"Run paid pilots, not free ones. Paying customers give honest feedback; free user",4.80
answer,How do I find product-market fit as a B2B deeptech startup with a long sales cycle?,Erik Sandberg,mentor,deeptech,B2B SaaS,mentor_matcher,Talk to 50 potential customers before you have a product. Map their current work,4.60
question,How do I find product-market fit as a B2B deeptech startup with a long sales cycle?,Lena Hartmann,founder,deeptech,B2B SaaS,null,How do I find product-market fit as a B2B deeptech startup with a long sales cyc,null
answer,I am spinning out of TU Berlin with a materials science IP and want to apply for EXIST-Forschungstransfer. Has anyone gone through the process via the TU Berlin Gründungsservice and can share what they wish they had known earlier?,Fatima Al-Rashid,mentor,deeptech,Hardware / Industrial,mentor_matcher,I went through EXIST-Forschungstransfer myself via TU Berlin and it took about 1,4.90
answer,I am spinning out of TU Berlin with a materials science IP and want to apply for EXIST-Forschungstransfer. Has anyone gone through the process via the TU Berlin Gründungsservice and can share what they wish they had known earlier?,Karin Wolff,champion,deeptech,Hardware / Industrial,champion_matcher,The EXIST process via TU Berlin is well-trodden but slow. A few practical additi,4.90
question,I am spinning out of TU Berlin with a materials science IP and want to apply for EXIST-Forschungstransfer. Has anyone gone through the process via the TU Berlin Gründungsservice and can share what they wish they had known earlier?,Lena Hartmann,founder,deeptech,Hardware / Industrial,null,I am spinning out of TU Berlin with a materials science IP and want to apply for,null
answer,What does a shareholder agreement need to cover for a two-founder GmbH?,Dr. Lena Vogt,champion,deeptech,B2B SaaS,champion_matcher,"Essential clauses: vesting schedule with cliff, drag-along and tag-along rights,",5.00
answer,What does a shareholder agreement need to cover for a two-founder GmbH?,Lukas Brandt,mentor,deeptech,B2B SaaS,mentor_matcher,We skipped the deadlock resolution clause and spent six months in a standoff wit,4.90
answer,What does a shareholder agreement need to cover for a two-founder GmbH?,Dr. Lena Vogt,champion,deeptech,B2B SaaS,champion_matcher,"Also add a non-compete and non-solicitation clause. It feels unnecessary on day ",4.70
question,What does a shareholder agreement need to cover for a two-founder GmbH?,Lena Hartmann,founder,deeptech,B2B SaaS,null,What does a shareholder agreement need to cover for a two-founder GmbH?,null
answer,What is the Berlin startup networking scene like and where should I show up as a new founder?,Erik Sandberg,mentor,deeptech,B2B SaaS,mentor_matcher,The Berlin scene is dense and surprisingly accessible. Key recurring events: Fou,4.80
answer,What is the Berlin startup networking scene like and where should I show up as a new founder?,Sofia Almeida,champion,deeptech,B2B SaaS,champion_matcher,Do not go to networking events to pitch. Go to learn and help others. Berlin fou,4.70
answer,What is the Berlin startup networking scene like and where should I show up as a new founder?,Lukas Brandt,mentor,deeptech,B2B SaaS,mentor_matcher,"Factory Berlin, Mindspace, and the Startup Night Berlin events are the highest-d",4.60
question,What is the Berlin startup networking scene like and where should I show up as a new founder?,Lena Hartmann,founder,deeptech,B2B SaaS,null,What is the Berlin startup networking scene like and where should I show up as a,null
answer,I am bootstrapped at €50K MRR and finally ready to hire my first full-time employee — a growth or customer success person. I have never hired before. What are the most important things first-time founder-employers in Germany get wrong in the first hire?,Amira Khalil,mentor,edtech,B2C / B2B HR,mentor_matcher,The most common first-hire mistakes I see from founder-employers in Germany: (1),4.90
answer,I am bootstrapped at €50K MRR and finally ready to hire my first full-time employee — a growth or customer success person. I have never hired before. What are the most important things first-time founder-employers in Germany get wrong in the first hire?,Jonas Reuter,champion,edtech,B2C / B2B HR,champion_matcher,Amira has the legal side right. From a hiring process angle: first-time founder-,4.70
question,I am bootstrapped at €50K MRR and finally ready to hire my first full-time employee — a growth or customer success person. I have never hired before. What are the most important things first-time founder-employers in Germany get wrong in the first hire?,Priya Nair,founder,edtech,B2C / B2B HR,null,I am bootstrapped at €50K MRR and finally ready to hire my first full-time emplo,null
answer,Is Factory Berlin or The Delta better for a Seed-stage edtech team of 6 people?,Lukas Brandt,mentor,edtech,B2C,mentor_matcher,"For a team of 6, The Delta is the better fit. Factory Berlin is great for networ",4.90
answer,Is Factory Berlin or The Delta better for a Seed-stage edtech team of 6 people?,Hana Okafor,mentor,edtech,B2C,mentor_matcher,We moved to The Delta after 6 months at a shared space and the productivity jump,4.80
answer,Is Factory Berlin or The Delta better for a Seed-stage edtech team of 6 people?,Lukas Brandt,mentor,edtech,B2C,mentor_matcher,Do a trial week at both before deciding — both offer this. The vibe difference i,4.60
question,Is Factory Berlin or The Delta better for a Seed-stage edtech team of 6 people?,Piotr Nowak,founder,edtech,B2C,null,Is Factory Berlin or The Delta better for a Seed-stage edtech team of 6 people?,null
answer,We are a Polish-German founding team. Can we structure the GmbH with one founder registered in Poland?,Dr. Lena Vogt,champion,edtech,B2C,champion_matcher,"Yes, a non-German EU citizen can be a GmbH shareholder and Geschäftsführer witho",5.00
answer,We are a Polish-German founding team. Can we structure the GmbH with one founder registered in Poland?,Yara Demir,mentor,edtech,B2C,mentor_matcher,"EU co-founders have it much easier than non-EU. The main practical issue is the ",4.80
answer,We are a Polish-German founding team. Can we structure the GmbH with one founder registered in Poland?,Tomas Berg,mentor,edtech,B2C,mentor_matcher,We had a similar situation with a Swedish co-founder. The Vollmacht route worked,4.70
question,We are a Polish-German founding team. Can we structure the GmbH with one founder registered in Poland?,Piotr Nowak,founder,edtech,B2C,null,We are a Polish-German founding team. Can we structure the GmbH with one founder,null
answer,We need a part-time CFO or finance advisor for our Seed round preparation. How do founders in Berlin typically find fractional finance help?,Dr. Lena Vogt,champion,edtech,B2C,champion_matcher,I used a fractional CFO for our Series A prep and it was one of the best investm,4.90
answer,We need a part-time CFO or finance advisor for our Seed round preparation. How do founders in Berlin typically find fractional finance help?,Marek Sliwinski,champion,edtech,B2C,champion_matcher,Several Berlin-based fractional CFOs specifically serve pre-Seed and Seed startu,4.80
answer,We need a part-time CFO or finance advisor for our Seed round preparation. How do founders in Berlin typically find fractional finance help?,Yara Demir,mentor,edtech,B2C,mentor_matcher,Also ask your Steuerberater if they offer CFO-as-a-service — some Berlin startup,4.50
question,We need a part-time CFO or finance advisor for our Seed round preparation. How do founders in Berlin typically find fractional finance help?,Piotr Nowak,founder,edtech,B2C,null,We need a part-time CFO or finance advisor for our Seed round preparation. How d,null
answer,What are the best Berlin edtech communities or Stammtisch events for founders?,Yara Demir,mentor,edtech,B2C,mentor_matcher,Join the Berlin EdTech WhatsApp group — ask in the EdTech Berlin Meetup for acce,4.70
answer,What are the best Berlin edtech communities or Stammtisch events for founders?,Jonas Reuter,champion,edtech,B2C,champion_matcher,EdTech Berlin Meetup runs quarterly and is the most focused gathering for the se,4.60
answer,What are the best Berlin edtech communities or Stammtisch events for founders?,Hana Okafor,mentor,edtech,B2C,mentor_matcher,The healthtech and edtech communities overlap more than you would expect in Berl,4.40
question,What are the best Berlin edtech communities or Stammtisch events for founders?,Piotr Nowak,founder,edtech,B2C,null,What are the best Berlin edtech communities or Stammtisch events for founders?,null
answer,How do I handle VAT as a SaaS company selling to both German and EU customers?,Marek Sliwinski,champion,fintech,B2B,champion_matcher,For B2B SaaS: sales to German businesses are subject to 19% VAT. Sales to EU bus,5.00
answer,How do I handle VAT as a SaaS company selling to both German and EU customers?,Tomas Berg,mentor,fintech,B2B,mentor_matcher,This tripped us up early. Get your VAT ID (Umsatzsteuer-ID) immediately after Gm,4.60
answer,How do I handle VAT as a SaaS company selling to both German and EU customers?,Hana Okafor,mentor,fintech,B2B,mentor_matcher,Your invoicing software matters here. We use Lexoffice which handles EU VAT rule,4.30
question,How do I handle VAT as a SaaS company selling to both German and EU customers?,Tim Leber,founder,fintech,B2B,null,How do I handle VAT as a SaaS company selling to both German and EU customers?,null
answer,We are raising a pre-seed round. Should we use a SAFE note or a convertible loan in Germany?,Dr. Lena Vogt,champion,fintech,B2B,champion_matcher,"In Germany, SAFEs are not yet as standardised as in the US. Most German investor",4.90
answer,We are raising a pre-seed round. Should we use a SAFE note or a convertible loan in Germany?,Priya Nandakumar,champion,fintech,B2B,champion_matcher,We used a convertible loan at pre-seed and it worked fine. Key terms to negotiat,4.70
answer,We are raising a pre-seed round. Should we use a SAFE note or a convertible loan in Germany?,Yara Demir,mentor,fintech,B2B,mentor_matcher,I raised on a convertible loan as a newcomer founder. One practical tip: make su,4.50
question,We are raising a pre-seed round. Should we use a SAFE note or a convertible loan in Germany?,Tim Leber,founder,fintech,B2B,null,We are raising a pre-seed round. Should we use a SAFE note or a convertible loan,null
answer,What are the best angel investors in Berlin for fintech startups?,Tomas Berg,mentor,fintech,B2B,mentor_matcher,I can intro you to two Berlin fintech angels who are actively writing €25–50k ch,4.90
answer,What are the best angel investors in Berlin for fintech startups?,Priya Nandakumar,champion,fintech,B2B,champion_matcher,Look at the FinLeap and Fintech Forum networks — many active angels come from th,4.80
answer,What are the best angel investors in Berlin for fintech startups?,Dr. Lena Vogt,champion,fintech,B2B,champion_matcher,Do not underestimate operator angels — people who have built and sold fintech co,4.40
question,What are the best angel investors in Berlin for fintech startups?,Tim Leber,founder,fintech,B2B,null,What are the best angel investors in Berlin for fintech startups?,null
answer,What should a cap table look like after a pre-seed round with two angels?,Dr. Lena Vogt,champion,fintech,B2B,champion_matcher,"A healthy pre-seed cap table with two angels: founders retain 80–85%, angels tak",4.90
answer,What should a cap table look like after a pre-seed round with two angels?,Dr. Lena Vogt,champion,fintech,B2B,champion_matcher,Model it in a spreadsheet before you close — simulate what Series A dilution loo,4.80
answer,What should a cap table look like after a pre-seed round with two angels?,Lukas Brandt,mentor,fintech,B2B,mentor_matcher,Use Ledgy or Carta to manage it from day one. Do not manage a cap table in a spr,4.50
question,What should a cap table look like after a pre-seed round with two angels?,Tim Leber,founder,fintech,B2B,null,What should a cap table look like after a pre-seed round with two angels?,null
answer,Has anyone here successfully applied for IBB Pro FIT or similar Investitionsbank Berlin grants? I am pre-seed in fintech and trying to understand whether it is worth the time versus just focusing on angel rounds.,Karin Wolff,champion,FinTech,B2B SaaS,champion_matcher,IBB Pro FIT is worth pursuing for a fintech pre-seed but you need to be realisti,4.90
answer,Has anyone here successfully applied for IBB Pro FIT or similar Investitionsbank Berlin grants? I am pre-seed in fintech and trying to understand whether it is worth the time versus just focusing on angel rounds.,David Osei,mentor,FinTech,B2B SaaS,mentor_matcher,"From a financial modelling perspective: IBB grants are powerful because they do ",4.70
answer,Has anyone here successfully applied for IBB Pro FIT or similar Investitionsbank Berlin grants? I am pre-seed in fintech and trying to understand whether it is worth the time versus just focusing on angel rounds.,Tomas Berg,mentor,FinTech,B2B SaaS,mentor_matcher,I went through IBB Pro FIT for my first startup. Karin and David are both right.,4.60
